AMI name:ubuntu/images/hvm-ssd/ubuntu-focal-20.04-amd64-server-20211129, Instance type:m5d.xlarge, vCPUs=4
p=,async=0,mmap=0,10.670622987
p=,async=0,mmap=0,10.804023342
p=,async=0,mmap=0,10.483284608
p=,async=0,mmap=0,10.678859783
p=,async=0,mmap=0,10.787627196
p=,async=0,mmap=0,10.332539349
p=,async=0,mmap=0,10.645847004
p=,async=0,mmap=0,10.724081687
p=,async=0,mmap=0,10.816487963
p=,async=0,mmap=0,10.644471555
p=,async=0,mmap=1,17.209729586
p=,async=0,mmap=1,17.976050052
p=,async=0,mmap=1,18.186136881
p=,async=0,mmap=1,18.341681751
p=,async=0,mmap=1,18.254634098
p=,async=0,mmap=1,18.257629751
p=,async=0,mmap=1,18.178225459
p=,async=0,mmap=1,18.195013509
p=,async=0,mmap=1,17.878402919
p=,async=0,mmap=1,18.125467125
p=,async=1,mmap=0,10.654061504
p=,async=1,mmap=0,10.666811704
p=,async=1,mmap=0,10.723292703
p=,async=1,mmap=0,10.779938653
p=,async=1,mmap=0,11.241941521
p=,async=1,mmap=0,11.202797365
p=,async=1,mmap=0,10.895417158
p=,async=1,mmap=0,10.853517268
p=,async=1,mmap=0,10.897708588
p=,async=1,mmap=0,10.391226400
p=,async=1,mmap=1,17.712939711
p=,async=1,mmap=1,18.127339068
p=,async=1,mmap=1,18.241816859
p=,async=1,mmap=1,17.985373833
p=,async=1,mmap=1,18.109247238
p=,async=1,mmap=1,18.469074619
p=,async=1,mmap=1,17.859207689
p=,async=1,mmap=1,17.951693490
p=,async=1,mmap=1,18.087814501
p=,async=1,mmap=1,18.123195302
p=,async=0,mmap=0,10.284800085
p=,async=0,mmap=0,10.429375542
p=,async=0,mmap=0,10.350847092
p=,async=0,mmap=0,10.580296366
p=,async=0,mmap=0,10.576267553
p=,async=0,mmap=0,10.605363369
p=,async=0,mmap=0,10.458761514
p=,async=0,mmap=0,10.797904782
p=,async=0,mmap=0,10.317316892
p=,async=0,mmap=0,10.275288253
p=,async=0,mmap=1,18.232563264
p=,async=0,mmap=1,18.123742168
p=,async=0,mmap=1,17.966867917
p=,async=0,mmap=1,18.057828659
p=,async=0,mmap=1,18.418206643
p=,async=0,mmap=1,18.053336215
p=,async=0,mmap=1,17.446516085
p=,async=0,mmap=1,18.061212112
p=,async=0,mmap=1,18.536026840
p=,async=0,mmap=1,18.148450939
p=,async=1,mmap=0,10.668244270
p=,async=1,mmap=0,11.341063015
p=,async=1,mmap=0,10.510084463
p=,async=1,mmap=0,11.112471493
p=,async=1,mmap=0,11.046942319
p=,async=1,mmap=0,10.741821487
p=,async=1,mmap=0,10.666602093
p=,async=1,mmap=0,10.829963811
p=,async=1,mmap=0,10.830363633
p=,async=1,mmap=0,11.046735383
p=,async=1,mmap=1,18.078637083
p=,async=1,mmap=1,18.107559859
p=,async=1,mmap=1,17.877459636
p=,async=1,mmap=1,18.472035986
p=,async=1,mmap=1,18.323644325
p=,async=1,mmap=1,18.100607184
p=,async=1,mmap=1,18.235253121
p=,async=1,mmap=1,17.986003395
p=,async=1,mmap=1,18.337072271
p=,async=1,mmap=1,18.459821394
