AMI name:Windows_Server-2019-English-Full-Base-2021.12.15, Instance type:m5d.xlarge, vCPUs=4
P=,Async=0,MMap=0,84.5923678
P=,Async=0,MMap=0,78.3046936
P=,Async=0,MMap=0,79.5624448
P=,Async=0,MMap=0,78.8338643
P=,Async=0,MMap=0,78.8203128
P=,Async=0,MMap=0,77.8499498
P=,Async=0,MMap=0,78.0634914
P=,Async=0,MMap=0,77.9593324
P=,Async=0,MMap=0,77.7736184
P=,Async=0,MMap=0,78.4883587
P=,Async=0,MMap=1,20.2532335
P=,Async=0,MMap=1,20.4174129
P=,Async=0,MMap=1,19.9675303
P=,Async=0,MMap=1,19.941325
P=,Async=0,MMap=1,20.5731231
P=,Async=0,MMap=1,20.6383926
P=,Async=0,MMap=1,20.5978505
P=,Async=0,MMap=1,20.6902944
P=,Async=0,MMap=1,20.5570088
P=,Async=0,MMap=1,20.5397635
P=,Async=1,MMap=0,78.3709893
P=,Async=1,MMap=0,78.1481815
P=,Async=1,MMap=0,77.7716681
P=,Async=1,MMap=0,77.4940626
P=,Async=1,MMap=0,77.1529532
P=,Async=1,MMap=0,77.330105
P=,Async=1,MMap=0,77.3799323
P=,Async=1,MMap=0,76.6800787
P=,Async=1,MMap=0,77.3361303
P=,Async=1,MMap=0,76.6137617
P=,Async=1,MMap=1,20.9642407
P=,Async=1,MMap=1,20.250626
P=,Async=1,MMap=1,20.188316
P=,Async=1,MMap=1,20.9084047
P=,Async=1,MMap=1,19.8549013
P=,Async=1,MMap=1,20.2004739
P=,Async=1,MMap=1,20.7062721
P=,Async=1,MMap=1,20.463606
P=,Async=1,MMap=1,21.0067216
P=,Async=1,MMap=1,20.7986391
P=,Async=0,MMap=0,79.6594412
P=,Async=0,MMap=0,79.1206775
P=,Async=0,MMap=0,80.0703925
P=,Async=0,MMap=0,79.2748804
P=,Async=0,MMap=0,79.314628
P=,Async=0,MMap=0,80.2763994
P=,Async=0,MMap=0,78.8182571
P=,Async=0,MMap=0,79.7505284
P=,Async=0,MMap=0,78.6923418
P=,Async=0,MMap=0,79.0407493
P=,Async=0,MMap=1,20.9444472
P=,Async=0,MMap=1,20.6057455
P=,Async=0,MMap=1,20.9667543
P=,Async=0,MMap=1,20.7841471
P=,Async=0,MMap=1,21.0186249
P=,Async=0,MMap=1,20.769176
P=,Async=0,MMap=1,20.9207667
P=,Async=0,MMap=1,20.710022
P=,Async=0,MMap=1,20.1799434
P=,Async=0,MMap=1,20.4735777
P=,Async=1,MMap=0,78.3161939
P=,Async=1,MMap=0,78.9799398
P=,Async=1,MMap=0,77.9848877
P=,Async=1,MMap=0,78.2740164
P=,Async=1,MMap=0,78.3084533
P=,Async=1,MMap=0,79.134726
P=,Async=1,MMap=0,79.483623
P=,Async=1,MMap=0,79.9795247
P=,Async=1,MMap=0,80.1790921
P=,Async=1,MMap=0,80.4041157
P=,Async=1,MMap=1,20.3359766
P=,Async=1,MMap=1,20.4737491
P=,Async=1,MMap=1,20.6330923
P=,Async=1,MMap=1,20.2246392
P=,Async=1,MMap=1,20.0726619
P=,Async=1,MMap=1,20.405177
P=,Async=1,MMap=1,20.5936193
P=,Async=1,MMap=1,20.8253542
P=,Async=1,MMap=1,21.0552768
P=,Async=1,MMap=1,20.3607843
