AMI name:Windows_Server-2019-English-Full-Base-2021.12.15, Instance type:m5d.xlarge, vCPUs=4
P=,Async=0,MMap=0,11.9294543
P=,Async=0,MMap=0,12.6792999
P=,Async=0,MMap=0,12.4624352
P=,Async=0,MMap=0,12.6668076
P=,Async=0,MMap=0,12.6852508
P=,Async=0,MMap=0,12.5249268
P=,Async=0,MMap=0,12.4547189
P=,Async=0,MMap=0,12.9656566
P=,Async=0,MMap=0,12.4308783
P=,Async=0,MMap=0,12.7146537
P=,Async=0,MMap=1,18.7473934
P=,Async=0,MMap=1,19.7627577
P=,Async=0,MMap=1,19.867715
P=,Async=0,MMap=1,19.5428178
P=,Async=0,MMap=1,19.5846956
P=,Async=0,MMap=1,19.8058722
P=,Async=0,MMap=1,19.3527099
P=,Async=0,MMap=1,19.6066278
P=,Async=0,MMap=1,19.990002
P=,Async=0,MMap=1,19.2815197
P=,Async=1,MMap=0,12.4190519
P=,Async=1,MMap=0,12.201314
P=,Async=1,MMap=0,12.6434441
P=,Async=1,MMap=0,12.5631252
P=,Async=1,MMap=0,12.8817918
P=,Async=1,MMap=0,12.2605764
P=,Async=1,MMap=0,12.3667148
P=,Async=1,MMap=0,12.7284101
P=,Async=1,MMap=0,12.8052816
P=,Async=1,MMap=0,12.7661486
P=,Async=1,MMap=1,18.9723675
P=,Async=1,MMap=1,19.8257654
P=,Async=1,MMap=1,19.7290493
P=,Async=1,MMap=1,19.6318385
P=,Async=1,MMap=1,19.4785269
P=,Async=1,MMap=1,19.9918916
P=,Async=1,MMap=1,19.7012715
P=,Async=1,MMap=1,19.6623589
P=,Async=1,MMap=1,19.8200596
P=,Async=1,MMap=1,19.8671607
P=,Async=0,MMap=0,12.7446077
P=,Async=0,MMap=0,12.632002
P=,Async=0,MMap=0,12.8086254
P=,Async=0,MMap=0,12.6424556
P=,Async=0,MMap=0,13.0775979
P=,Async=0,MMap=0,12.8462241
P=,Async=0,MMap=0,12.8251083
P=,Async=0,MMap=0,12.7435016
P=,Async=0,MMap=0,12.708547
P=,Async=0,MMap=0,12.4651378
P=,Async=0,MMap=1,18.7535149
P=,Async=0,MMap=1,19.7084634
P=,Async=0,MMap=1,19.6995025
P=,Async=0,MMap=1,19.8996171
P=,Async=0,MMap=1,19.719067
P=,Async=0,MMap=1,20.1733325
P=,Async=0,MMap=1,19.4269896
P=,Async=0,MMap=1,19.6453762
P=,Async=0,MMap=1,19.6095667
P=,Async=0,MMap=1,19.9483129
P=,Async=1,MMap=0,12.332333
P=,Async=1,MMap=0,12.8999027
P=,Async=1,MMap=0,12.5168887
P=,Async=1,MMap=0,12.740335
P=,Async=1,MMap=0,12.5804653
P=,Async=1,MMap=0,12.7265395
P=,Async=1,MMap=0,12.7297894
P=,Async=1,MMap=0,12.4604766
P=,Async=1,MMap=0,12.7318116
P=,Async=1,MMap=0,12.760664
P=,Async=1,MMap=1,18.7672235
P=,Async=1,MMap=1,19.7206678
P=,Async=1,MMap=1,19.5564996
P=,Async=1,MMap=1,19.3057025
P=,Async=1,MMap=1,19.4231773
P=,Async=1,MMap=1,19.4608141
P=,Async=1,MMap=1,19.5970355
P=,Async=1,MMap=1,19.2045833
P=,Async=1,MMap=1,19.6622303
P=,Async=1,MMap=1,19.4431329
